类别,指标,IGEV++ RT,LiteAnyStereo,说明
数据,统一测试场景数,203,203,完全相同输入
数据,有参考定量场景数,73,73,FDJYP-3
精度,EPE_px,4.6739,2.0762,越低越好
精度,D1_pct,10.6413,7.4666,越低越好
精度,Bad1_pct,40.6562,40.1102,越低越好
精度,Bad2_pct,19.7851,17.4400,越低越好
精度,Bad3_pct,12.6567,9.8854,越低越好
稳定性,最大单场EPE_px,108.7883,12.3171,LAS尾部更稳
稳定性,EPE大于10px场景数,5,1,LAS异常更少
稳定性,单场EPE获胜数,44,29,IGEV在更多普通单场略优
性能,平均核心推理_ms,115.0948,36.1642,RTX4090 FP32
性能,FPS,8.6885,27.6517,LAS约3.18倍
资源,CUDA峰值allocated_MiB,711.03,658.87,独立进程测量
资源,参数量_M,4.165,7.604,IGEV更小
资源,checkpoint_MiB,16.17,29.35,IGEV更小
点云,生成文件数,203,203,共406个PLY
空洞,luowen_656565-0004有效率_pct,95.74,98.87,无参考且几何warning
空洞,general_0162有效率_pct,93.86,91.44,无参考且几何high_risk
边缘,0018边缘EPE_px,88.71,30.06,LAS显著改善严重失效
边缘,0038边缘EPE_px,4.74,11.33,IGEV明确反例
曝光,0028模型间MAE_px,50.15,50.15,暗区69.75%;无参考
曝光,0035模型间MAE_px,0.95,0.95,高亮区6.44%
刻度,0005视差梯度均值,1.257,0.274,IGEV高频响应更强
刻度,0018视差梯度均值,1.211,0.581,IGEV高频响应更强
